rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/10009132-rec,Q754474,Rec,Q22908176,REC,,,,tt1038988,8329.0,1500000.0,Q4916,,,P2130,,,,,,
m/10009138-look,Q9023658,Look,,,,,,tt0810951,17025.0,,,,,,,,,,,
m/1000915-and_god_created_woman,Q351989,And God Created Woman,,,,,andgodcreatedwoman,tt0092559,61651.0,,,,,,,,,,,
m/10009151-box,Q1346258,The Box,,,,,box09,tt0362478,22825.0,30000000.0,Q4917,,,P2130,33333531.0,Q4917,,,,
m/10009169-man_in_the_chair,Q3285122,Man in the Chair,,,,,,tt0489225,15148.0,,,,,,,,,,,
m/10009172-undoing,Q7884023,Undoing,,,,,,tt0452701,58727.0,,,,,,,,,,,
m/10009176-black_water,Q880636,Black Water,,,,,,tt0816436,14138.0,,,,,,111989.0,Q259502,,2008-01-01T00:00:00Z,,
m/10009192-21,Q213999,21,,,,,21,tt0478087,8065.0,35000000.0,Q4917,,,P2130,157927340.0,Q4917,,,,
m/10009210-duchess_of_langeais,Q1410628,The Duchess of Langeais,,,,,,tt0781435,46335.0,,,,,,,,,,,
m/10009212-ben_x,Q499515,Ben X,,,,,benx,tt0953318,6936.0,,,,,,,,,,,
m/10009225-body_of_lies,Q578312,Body of Lies,,,,,bodyoflies,tt0758774,12113.0,,,,,,,,,,,
m/10009239-passengers,Q1511480,Passengers,,,,,passengers,tt0449487,13944.0,,,,,,,,,,,
m/10009244-the_grand,Q280006,The Grand,,,,,,tt0427998,15378.0,,,,,,,,,,,
m/10009253-the_hammer,Q7738683,The Hammer,,,,,,tt0814130,14014.0,,,,,,,,,,,
m/10009254-shutter,Q659756,Shutter,,,,,shutter,tt0482599,10885.0,8000000.0,Q4917,,,P2130,48000000.0,Q4917,,,,
m/10009274-priest,Q967683,Priest,,,,,priest07,tt0822847,38321.0,60000000.0,Q4917,,,P2130,78309131.0,Q4917,,,,
