tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt2120120,Pixels,2015,244874809.0,2b3Gdse0NR3yNVJmF9yHom,Pixels: The Movie (Original Motion Picture Soundtrack),2015,150.0,14.0,5.9523809523809526,125,21,2300461.0,38.34101666666667,{'Henry Jackman'}
tt1667889,Ice Age: Continental Drift,2012,877244782.0,62hm50sMZpmvMPsQVwx7qW,Ice Age: Continental Drift (Original Motion Picture Score),2012,127.0,22.0,11.357142857142858,159,14,3494247.0,58.23745,{'John Powell'}
tt4779682,The Meg,2018,530517320.0,2fX1wp135xWozEnVTnuViD,The Meg (Original Motion Picture Soundtrack),2018,127.0,15.0,6.277777777777778,113,18,3073127.0,51.21878333333333,{'Harry Gregson-Williams'}
tt2239822,Valerian and the City of a Thousand Planets,2017,225973340.0,6WTJ4bVc1p1gINRCBgnNP0,Valerian and the City of a Thousand Planets (Original Motion Picture Soundtrack),2017,127.0,36.0,4.375,140,32,6023164.0,100.38606666666666,"{'David Bowie', 'Cara Delevingne', 'Julien Rey', 'Alexiane', 'Alexandre Desplat', 'Quasimoto', 'Charles Bradley', 'Wyclef Jean', 'Refugee All Stars', 'Bob Marley & The Wailers'}"
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,226497209.0,0pnU5OMeSAAoL48b1DHxlp,Percy Jackson And The Olympians: The Lightning Thief (Original Motion Picture Soundtrack),2010,150.0,0.0,0.0,0,19,3554488.0,59.24146666666667,{'Christophe Beck'}
tt2637276,Ted 2,2015,215863606.0,0r4GpTYuXDEtLkns8g81Ox,Ted 2: Original Motion Picture Soundtrack,2015,150.0,30.0,10.5,147,14,1639849.0,27.330816666666667,"{'Walter Murphy', 'Bone Symphony', 'Norah Jones', 'Alfred Newman', 'Amanda Seyfried'}"
tt1800241,American Hustle,2013,251171807.0,1IYNvecQemjw2HnVPteEU7,American Hustle (Original Motion Picture Soundtrack),2013,127.0,33.0,10.866666666666667,163,15,3289555.0,54.82591666666666,"{'Chris Stills', 'Danny Elfman', 'Jack Jones', 'America', 'Bee Gees', 'Harold Melvin & The Blue Notes', 'Electric Light Orchestra', 'Duke Ellington', 'Elton John', 'Donna Summer', 'Jeff Lynne', 'Teddy Pendergrass', 'Tom Jones', 'Wings', 'Mayssa Karaa'}"
tt5442430,Life,2017,100541806.0,3EwSAfQAM6XcEDFCDplcHc,Life (Original Motion Picture Soundtrack),2017,150.0,0.0,0.0,0,16,3482437.0,58.040616666666665,{'Jon Ekstrand'}
tt1133985,Green Lantern,2011,219851172.0,4NQqsrsCgo1xFwA81uI3Lp,Green Lantern (Original Motion Picture Soundtrack),2011,127.0,16.0,6.777777777777778,122,18,3176643.0,52.94405,"{'Ryan Reynolds', 'James Newton Howard'}"
tt0322259,2 Fast 2 Furious,2003,236350661.0,1cInbcKRuvIvW8pj9daIJU,2 Fast 2 Furious (Soundtrack),2003,127.0,55.0,25.41176470588235,432,17,3661448.0,61.02413333333333,"{'Tyrese', 'Chingy', 'Kardinal Offishall', 'Jin', ""Lil' Flip"", 'I-20', 'Dirtbag', ""K'Jon"", 'Trick Daddy', 'Pitbull', 'Shawnna', 'Dead Prez', 'R. Kelly', 'Ludacris', '2 Chainz', 'Joe Budden', '8Ball', 'Fat Joe'}"
