rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/bombs_over_burma,Q891941,Bombs Over Burma,,,,
m/life_and_death_of_colonel_blimp,Q1319302,The Life and Death of Colonel Blimp,,,,
m/heaven_can_wait_1943,Q1305546,Heaven Can Wait,,,,
m/seventh_victim,Q31212,The Seventh Victim,,,,
m/watch_on_the_rhine,Q920105,Watch on the Rhine,,,,
m/phantom_of_the_opera_1943,Q1435221,Phantom of the Opera,,,,
m/lassie_come_home,Q684216,Lassie Come Home,,,,
m/1018069-sahara,Q769280,Sahara,,,,
m/girl_crazy,Q1526747,Girl Crazy,,,,
m/madame_curie,Q621716,Madame Curie,,,,
m/song_of_bernadette,Q669749,The Song of Bernadette,,,,
m/the_gangs_all_here_1943,Q2734652,The Gang's All Here,,,,
m/house_of_frankenstein,Q1444746,House of Frankenstein,Q96378410,Frankenstein,,
m/the_three_caballeros,Q736731,The Three Caballeros,Q56070713,Walt Disney Animation Studios film,,
m/the_return_of_the_vampire,Q5844746,The Return of the Vampire,,,,
m/mummys_curse,Q2549022,The Mummy's Curse,Q3823300,The Mummy,,
m/thirty_seconds_over_tokyo,Q1258295,Thirty Seconds Over Tokyo,,,,
m/miracle_of_morgans_creek,Q2589831,The Miracle of Morgan's Creek,,,,
m/lifeboat,Q1170179,Lifeboat,,,,
m/phantom_lady,Q1953971,Phantom Lady,,,,
m/1031766-jane_eyre,,,,,,
m/1038526-uninvited,Q1199728,The Uninvited,,,,
m/fighting_seabees,Q1638595,The Fighting Seabees,,,,
m/1004832-cover_girl,Q1366560,Cover Girl,,,,
m/going_my_way,Q468877,Going My Way,,,,
m/gaslight,Q841781,Gaslight,,,,
m/mr_skeffington,Q1169497,Mr. Skeffington,,,,
m/the_canterville_ghost_1944,Q626650,The Canterville Ghost,,,,
m/mummys_ghost,,,,,,
m/hail_the_conquering_hero,Q826462,Hail the Conquering Hero,,,,
m/my_friend_flicka,Q3319820,My Friend Flicka,,,,
m/double_indemnity,Q478209,Double Indemnity,,,,
m/arsenic_and_old_lace,Q59317,Arsenic and Old Lace,,,,
m/1012007-laura,Q976149,Laura,,,,
m/to_have_and_have_not,Q786996,To Have and Have Not,,,,
m/1002732-bluebeard,Q2884134,Bluebeard,,,,
m/meet_me_in_st_louis,Q1066873,Meet Me in St. Louis,,,,
m/murder_my_sweet,Q2564595,"Murder, My Sweet",,,,
m/national_velvet,Q284686,National Velvet,,,,
m/experiment_perilous,Q1145745,Experiment Perilous,,,,
m/ivan_the_terrible_part_i,Q1542476,Ivan the Terrible. Part I,Q20051329,Ivan the Terrible,,
m/1004141-christmas_in_connecticut,Q2966030,Christmas in Connecticut,,,,
m/road_to_utopia,Q2345220,Road to Utopia,Q1891168,Road to …,,
m/captain_kidd,Q839419,Captain Kidd,,,,
m/blithe_spirit,Q1141582,Blithe Spirit,,,,
m/southerner,Q1195531,The Southerner,,,,
m/1016302-picture_of_dorian_gray,Q1167299,The Picture of Dorian Gray,,,,
m/anchors_aweigh,Q542988,Anchors Aweigh,,,,
m/clock,Q1650124,The Clock,,,,
m/strange_illusion,Q3321119,Strange Illusion,,,,
m/the_thin_man_goes_home,Q1198499,The Thin Man Goes Home,,,,
m/sherlock_holmes_and_the_woman_in_green,Q1212662,The Woman in Green,,,,
m/strange_affair_of_uncle_harry,Q2417639,The Strange Affair of Uncle Harry,,,,
