,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
100,m/10008607-day_of_the_dead,Q548446,Day of the Dead,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
101,m/10008611-my_best_friends_girl,Q266552,My Best Friend's Girl,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
102,m/10008613-burrowers,Q2014167,The Burrowers,,,,,7000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,3500000.0,,,,,23333333.333333332,,
103,m/10008617-midnight_meat_train,Q2030471,The Midnight Meat Train,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
104,m/10008618-return,Q471596,The Lucky Ones,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
105,m/10008621-run_fat_boy_run,Q1417929,Run Fatboy Run,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
106,m/10008652-closing_escrow,Q2979661,Closing Escrow,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
107,m/10008655-whiteout,Q74636,Whiteout,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
108,m/10008661-randy_and_the_mob,Q7292528,Randy and the Mob,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
109,m/10008667-black_irish,Q4921036,Black Irish,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
110,m/10008678-wild_child,Q590352,Wild Child,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
111,m/10008687-powder_blue,Q2066934,Powder Blue,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
112,m/10008698-king_corn,Q6411362,King Corn,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
113,m/10008699-terrors_advocate,Q2719923,Terror's Advocate,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
114,m/10008700-darfur_now,Q753518,Darfur Now,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
115,m/10008701-laaga_chunari_mein_daag,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
116,m/10008703-rails_and_ties,Q1507790,Rails & Ties,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
117,m/10008705-mr_untouchable,Q6929271,Mr. Untouchable,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
118,m/10008706-house,Q5913552,House,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
119,m/10008744-canvas,Q3824781,Canvas,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
120,m/10008747-skid_row,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
121,m/10008748-saawariya,Q1519075,Saawariya,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
122,m/10008752-aaja_nachle,Q300814,Aaja Nachle,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
123,m/10008754-flawless,Q311525,Flawless,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
124,m/10008760-what_happens_in_vegas,Q675472,What Happens in Vegas,,,,,35000000.0,Q4917,,,P2130,219375797.0,Q4917,,,,,50% of production budget (heuristic),0.45,17500000.0,98719108.65,46219108.650000006,0.8803639742857144,6.2678799142857144,116666666.66666666,102709130.33333334,hit
125,m/10008785-appaloosa,Q620655,Appaloosa,,,,,20000000.0,Q4917,,,P2130,27700000.0,Q4917,,,,,50% of production budget (heuristic),0.45,10000000.0,12465000.0,-17535000.0,-0.5845,1.385,66666666.666666664,-38966666.666666664,bomb
126,m/10008786-good,Q2601102,Good,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
127,m/10008820-visitor,Q1048360,The Visitor,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
128,m/10008830-bill,Q861919,Meet Bill,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
129,m/10008849-married_life,Q187079,Married Life,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
130,m/10008856-badland,Q799179,Badland,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
131,m/10008924-oxford_murders,Q402758,The Oxford Murders,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
132,m/10008954-untraceable,Q947355,Untraceable,,,,,35000000.0,Q4917,,,P2130,52700000.0,Q4917,,,,,50% of production budget (heuristic),0.45,17500000.0,23715000.0,-28785000.0,-0.5482857142857143,1.5057142857142858,116666666.66666666,-63966666.66666666,bomb
133,m/10008991-informers,Q2593159,The Informers,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
134,m/10008992-meeting_resistance,Q6807896,Meeting Resistance,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
135,m/10009001-the_freshman,Q1455699,The Freshman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
136,m/10009005-a_bloody_aria,Q4655520,A Bloody Aria,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
137,m/10009029-kenny,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
138,m/10009055-rocker,Q1755845,The Rocker,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
139,m/10009063-perfect_holiday,Q2413413,The Perfect Holiday,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
140,m/10009066-la_graine_et_le_mulet,Q521484,The Secret of the Grain,,,,,9100000.0,Q4917,,,P2130,14700000.0,Q4917,,,,,50% of production budget (heuristic),0.45,4550000.0,6615000.0,-7035000.0,-0.5153846153846153,1.6153846153846154,30333333.333333332,-15633333.333333332,bomb
